id,title,addr1,map_x,map_y,flag_nm,type,parking_space,use_time_festival,tel,modified_time,play_time
KC490PC22N000002,산성동제5노상,대전광역시 중구 유등천동로 292번길 89-14,127.3908175,36.30867591,공영,노상,84,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000020,산성동제1노상,대전광역시 중구 당디로 45,127.3926533,36.30853607,공영,노상,145,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000027,군청 앞 주차장,강원도 평창군 평창읍 군청길 77,128.3901257,37.37127258,공영,노외,80,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000029,노성산 주차장,강원도 평창군 평창읍 평창중앙로 158-8,128.3947329,37.3735428,공영,노외,50,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000038,문창동제3노상,대전광역시 중구 대전천서로 269,127.4387359,36.31482503,공영,노상,230,무료,042-606-6865,20220916,00:00 - 23:59
KC490PC22N000052,철암보건지소옆,강원도 태백시 철암길 2,129.0397963,37.11728633,공영,노외,74,무료,033-550-2105,20220928,00:00 - 23:59
KC490PC22N000056,절골안길,강원도 태백시 절골2길 28,128.9791853,37.17638519,공영,노외,55,무료,033-550-2105,20220928,00:00 - 23:59
KC490PC22N000070,태백교육지원청옆,강원도 태백시 장성로 191,129.0227743,37.10367378,공영,노상,65,무료,033-550-2105,20220928,00:00 - 23:59
KC490PC22N000075,진부주공아파트 앞 주차장,강원도 평창군 진부면 경강로 3587,128.5578984,37.63533428,공영,노외,166,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000080,횡계초등학교 앞 주차장,강원도 평창군 대관령면 꽃밭양지길 16-3,128.7118375,37.67651721,공영,노외,110,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000089,장터주차장,강원도 평창군 봉평면 기풍3길 19,128.3763936,37.61519852,공영,노외,170,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000102,오대천둔치주차장,강원도 평창군 진부면 경강로 3554,128.5564901,37.63212044,공영,노외,167,무료,033-330-2285,20220927,00:00 - 23:59
KC490PC22N000107,전하공영주차장,울산광역시 동구 진성4가길 8,129.4294555,35.5107853,공영,노외,147,혼합,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000108,성끝마을 임시,울산광역시 동구 성끝4길 128-2,129.4338985,35.48218331,공영,노외,55,무료,052-209-3754,20221130,00:00 - 23:59
KC490PC22N000111,옥류천 공영주차장,울산광역시 동구 옥류로 92,129.4248718,35.54731088,공영,노외,83,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000112,울산대교 전망대 공영주차장,울산광역시 동구 봉수로 155,129.4133699,35.50564517,공영,노외,113,무료,052-209-3367,20221130,00:00 - 23:59
KC490PC22N000113,명덕1주차장,울산광역시 동구 명덕로 11-14,129.4305638,35.52178129,공영,노외,369,무료,052-209-3753,20221130,00:00 - 23:59
KC490PC22N000114,산록마을 공영주차장,울산광역시 동구 산록길 68,129.4212698,35.51339868,공영,노외,70,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000115,일산복개천공영주차장,울산광역시 동구 대송로 16,129.4277627,35.50450463,공영,노외,83,혼합,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000117,동축사입구,울산광역시 동구 옥류로 88,129.4249635,35.54678159,공영,노외,81,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000118,방어동(20-41),울산광역시 동구 성끝길 25,129.431113,35.48404219,공영,노외,60,무료,052-209-3722,20221130,00:00 - 23:59
KC490PC22N000127,일산동(948-4),울산광역시 동구 번덕7길 34,129.4306635,35.4978146,공영,노외,127,무료,052-209-3722,20221130,00:00 - 23:59
